=== iter1: crafty+F736+domain (old champion) ===
22:50:43 Grounding...
22:50:44 Grounding done (1.50s)
22:50:44 Solving...
22:50:45 Model found (2.36s): [-72, -5392]
22:50:46 Model found (3.03s, +0.00s): [-72, -8882]
22:50:46 Model found (3.03s, +0.00s): [-72, -8892]
22:50:46 Model found (3.03s, +0.00s): [-72, -8902]
22:50:46 Model found (3.03s, +0.00s): [-72, -8912]
22:50:46 Model found (3.03s, +0.00s): [-72, -8922]
22:50:46 Model found (3.04s, +0.00s): [-72, -8932]
22:50:46 Model found (3.04s, +0.00s): [-72, -8942]
22:50:46 Model found (3.04s, +0.00s): [-72, -8952]
22:50:46 Model found (3.04s, +0.00s): [-72, -8962]
22:50:46 Model found (3.04s, +0.00s): [-72, -8972]
22:50:46 Model found (3.05s, +0.00s): [-72, -8982]
22:50:46 Model found (3.05s, +0.00s): [-72, -8992]
22:50:46 Model found (3.05s, +0.00s): [-72, -9002]
22:50:46 Model found (3.05s, +0.00s): [-72, -9012]
22:50:46 Model found (3.05s, +0.00s): [-72, -9022]
22:50:46 Model found (3.06s, +0.00s): [-72, -9032]
22:50:46 Model found (3.06s, +0.00s): [-72, -9042]
22:50:46 Model found (3.06s, +0.00s): [-72, -9052]
22:50:46 Model found (3.06s, +0.00s): [-72, -9062]
22:50:46 Model found (3.07s, +0.00s): [-72, -9072]
22:50:46 Model found (3.07s, +0.00s): [-72, -9082]
22:50:46 Model found (3.07s, +0.00s): [-72, -9092]
22:50:46 Model found (3.07s, +0.00s): [-72, -9102]
22:50:46 Model found (3.07s, +0.00s): [-72, -9112]
22:50:46 Model found (3.08s, +0.00s): [-72, -9122]
22:50:46 Model found (3.08s, +0.00s): [-72, -9132]
22:50:46 Model found (3.08s, +0.00s): [-72, -9142]
22:50:46 Model found (3.08s, +0.00s): [-72, -9152]
22:50:46 Model found (3.08s, +0.00s): [-72, -9162]
22:50:46 Model found (3.09s, +0.00s): [-72, -9172]
22:50:46 Model found (3.09s, +0.00s): [-72, -9182]
22:50:46 Model found (3.09s, +0.00s): [-72, -9192]
22:50:46 Model found (3.09s, +0.00s): [-72, -9202]
22:50:46 Model found (3.10s, +0.00s): [-72, -9212]
22:50:46 Model found (3.10s, +0.00s): [-72, -9222]
22:50:46 Model found (3.10s, +0.00s): [-72, -9232]
22:50:46 Model found (3.10s, +0.00s): [-72, -9242]
22:50:46 Model found (3.10s, +0.00s): [-72, -9252]
22:50:46 Model found (3.10s, +0.00s): [-72, -9262]
22:50:46 Model found (3.11s, +0.00s): [-72, -9272]
22:50:46 Model found (3.11s, +0.00s): [-72, -9282]
22:50:46 Model found (3.11s, +0.00s): [-72, -9292]
22:50:46 Model found (3.11s, +0.00s): [-72, -9302]
22:50:46 Model found (3.11s, +0.00s): [-72, -9312]
22:50:46 Model found (3.12s, +0.00s): [-72, -9322]
22:50:46 Model found (3.12s, +0.00s): [-72, -9332]
22:50:46 Model found (3.12s, +0.00s): [-72, -9342]
22:50:46 Model found (3.12s, +0.00s): [-72, -9352]
22:50:46 Model found (3.12s, +0.00s): [-72, -9362]
22:50:46 Model found (3.13s, +0.00s): [-72, -9372]
22:50:46 Model found (3.13s, +0.00s): [-72, -9382]
22:50:46 Model found (3.13s, +0.00s): [-72, -9392]
22:50:46 Model found (3.13s, +0.00s): [-72, -9402]
22:50:46 Model found (3.13s, +0.00s): [-72, -9412]
22:50:46 Model found (3.14s, +0.00s): [-72, -9422]
22:50:46 Model found (3.14s, +0.00s): [-72, -9432]
22:50:46 Model found (3.14s, +0.00s): [-72, -9442]
22:50:46 Model found (3.14s, +0.00s): [-72, -9452]
22:50:46 Model found (3.14s, +0.00s): [-72, -9462]
22:50:46 Model found (3.15s, +0.00s): [-72, -9472]
22:50:46 Model found (3.15s, +0.00s): [-72, -9482]
22:50:46 Model found (3.15s, +0.00s): [-72, -9492]
22:50:46 Model found (3.15s, +0.00s): [-72, -9502]
22:50:46 Model found (3.15s, +0.00s): [-72, -9512]
22:50:46 Model found (3.16s, +0.00s): [-72, -9522]
22:50:46 Model found (3.16s, +0.00s): [-72, -9532]
22:50:46 Model found (3.16s, +0.00s): [-72, -9542]
22:50:46 Model found (3.16s, +0.00s): [-72, -9552]
22:50:46 Model found (3.16s, +0.00s): [-72, -9562]
22:50:46 Model found (3.17s, +0.00s): [-72, -9572]
22:50:46 Model found (3.17s, +0.00s): [-72, -9582]
22:50:46 Model found (3.17s, +0.00s): [-72, -9592]
22:50:46 Model found (3.17s, +0.00s): [-72, -9602]
22:50:46 Model found (3.18s, +0.00s): [-72, -9612]
22:50:46 Model found (3.18s, +0.00s): [-72, -9622]
22:50:46 Model found (3.18s, +0.00s): [-72, -9632]
22:50:46 Model found (3.18s, +0.00s): [-72, -9642]
22:50:46 Model found (3.18s, +0.00s): [-72, -9652]
22:50:46 Model found (3.19s, +0.00s): [-72, -9662]
22:50:46 Model found (3.19s, +0.00s): [-72, -9672]
