Domain options require heuristic 'Domain'!
17:05:45 Grounding...
17:05:45 Grounding done (0.29s)
17:05:45 Solving...
17:05:46 Model found (1.17s): [-92, -245]
17:06:49 Model found (63.60s, +0.09s): [-380, -1452]
17:06:49 Model found (63.70s, +0.09s): [-380, -1453]
17:06:49 Model found (63.78s, +0.08s): [-380, -1454]
17:06:49 Model found (63.89s, +0.11s): [-380, -1459]
17:06:49 Model found (63.96s, +0.07s): [-380, -1460]
17:06:49 Model found (64.05s, +0.09s): [-380, -1461]
17:06:49 Model found (64.15s, +0.10s): [-380, -1462]
17:06:49 Model found (64.23s, +0.09s): [-380, -1463]
17:06:50 Model found (64.34s, +0.10s): [-380, -1464]
17:06:50 Model found (64.40s, +0.06s): [-380, -1465]
17:06:50 Model found (64.44s, +0.04s): [-380, -1466]
17:06:50 Model found (64.51s, +0.07s): [-380, -1467]
17:06:50 Model found (64.62s, +0.12s): [-380, -1468]
17:06:50 Model found (64.74s, +0.12s): [-380, -1469]
17:06:50 Model found (64.81s, +0.07s): [-380, -1470]
17:06:50 Model found (64.90s, +0.09s): [-380, -1471]
17:06:50 Model found (64.98s, +0.07s): [-380, -1472]
17:06:50 Model found (65.05s, +0.08s): [-380, -1473]
17:06:50 Model found (65.13s, +0.08s): [-380, -1474]
17:06:50 Model found (65.19s, +0.06s): [-380, -1475]
17:06:50 Model found (65.23s, +0.05s): [-380, -1476]
17:06:50 Model found (65.28s, +0.05s): [-380, -1477]
17:06:51 Model found (65.34s, +0.06s): [-380, -1479]
17:06:51 Model found (65.44s, +0.09s): [-380, -1480]
17:06:51 Model found (65.56s, +0.12s): [-380, -1481]
17:06:51 Model found (65.68s, +0.11s): [-380, -1482]
17:06:51 Model found (65.96s, +0.28s): [-380, -1483]
17:06:51 Model found (66.07s, +0.11s): [-380, -1484]
17:06:51 Model found (66.22s, +0.16s): [-380, -1485]
17:06:52 Model found (66.32s, +0.10s): [-380, -1486]
17:06:52 Model found (66.40s, +0.08s): [-380, -1487]
17:06:52 Model found (66.48s, +0.08s): [-380, -1488]
17:06:52 Model found (66.55s, +0.07s): [-380, -1489]
17:06:52 Model found (66.62s, +0.07s): [-380, -1490]
17:06:52 Model found (66.93s, +0.31s): [-380, -1491]
17:06:52 Model found (67.03s, +0.09s): [-380, -1492]
17:06:52 Model found (67.28s, +0.26s): [-380, -1493]
17:06:53 Model found (67.40s, +0.12s): [-380, -1494]
17:06:53 Model found (67.51s, +0.11s): [-380, -1495]
17:06:54 Model found (68.40s, +0.88s): [-380, -1505]
17:06:54 Model found (68.91s, +0.51s): [-380, -1515]
17:06:55 Model found (69.36s, +0.46s): [-380, -1516]
17:06:55 Model found (69.94s, +0.58s): [-380, -1525]
17:06:56 Model found (70.48s, +0.54s): [-380, -1526]
17:06:56 Model found (70.58s, +0.11s): [-380, -1527]
17:06:56 Model found (70.69s, +0.10s): [-380, -1528]
17:06:56 Model found (70.86s, +0.18s): [-380, -1537]
17:06:57 Model found (71.43s, +0.57s): [-380, -1538]
17:06:57 Model found (71.54s, +0.11s): [-380, -1539]
17:06:57 Model found (71.65s, +0.11s): [-380, -1540]
17:06:58 Model found (72.67s, +1.02s): [-380, -1549]
17:06:58 Model found (73.24s, +0.57s): [-380, -1550]
17:06:59 Model found (73.36s, +0.11s): [-380, -1551]
17:06:59 Model found (73.51s, +0.15s): [-380, -1552]
17:06:59 Model found (73.69s, +0.18s): [-380, -1559]
17:07:00 Model found (74.34s, +0.65s): [-380, -1560]
17:07:00 Model found (74.48s, +0.15s): [-380, -1561]
17:07:00 Model found (74.60s, +0.12s): [-380, -1562]
17:07:00 Model found (74.81s, +0.20s): [-380, -1563]
17:07:00 Model found (74.99s, +0.19s): [-380, -1564]
17:07:00 Model found (75.14s, +0.15s): [-380, -1570]
17:07:01 Model found (75.81s, +0.66s): [-380, -1571]
17:07:01 Model found (75.97s, +0.16s): [-380, -1572]
17:07:01 Model found (76.09s, +0.12s): [-380, -1573]
17:07:01 Model found (76.24s, +0.15s): [-380, -1574]
17:07:02 Model found (76.38s, +0.13s): [-380, -1575]
17:07:02 Model found (76.54s, +0.17s): [-380, -1581]
17:07:02 Model found (77.14s, +0.59s): [-380, -1582]
17:07:03 Model found (77.32s, +0.18s): [-380, -1583]
17:07:03 Model found (77.57s, +0.25s): [-380, -1584]
17:07:03 Model found (77.67s, +0.11s): [-380, -1585]
17:07:03 Model found (77.85s, +0.17s): [-380, -1592]
17:07:04 Model found (78.55s, +0.71s): [-380, -1593]
17:07:04 Model found (78.73s, +0.18s): [-380, -1594]
17:07:04 Model found (78.86s, +0.13s): [-380, -1595]
17:07:04 Model found (79.00s, +0.15s): [-380, -1596]
17:07:04 Model found (79.16s, +0.16s): [-380, -1597]
17:07:05 Model found (79.34s, +0.18s): [-380, -1598]
17:07:05 Model found (80.17s, +0.82s): [-380, -1605]
17:07:06 Model found (80.99s, +0.82s): [-380, -1606]
17:07:06 Model found (81.18s, +0.19s): [-380, -1608]
17:07:07 Model found (81.98s, +0.80s): [-380, -1616]
17:07:08 Model found (83.05s, +1.07s): [-380, -1618]
17:07:10 Model found (84.65s, +1.61s): [-380, -1619]
17:07:11 Model found (85.86s, +1.21s): [-380, -1627]
17:07:12 Model found (86.65s, +0.79s): [-380, -1629]
17:07:13 Model found (88.08s, +1.42s): [-380, -1635]
17:07:14 Model found (88.73s, +0.65s): [-380, -1637]
17:07:14 Model found (89.23s, +0.50s): [-380, -1638]
17:07:15 Model found (89.39s, +0.16s): [-380, -1639]
17:07:16 Model found (91.04s, +1.66s): [-380, -1646]
17:07:17 Model found (91.84s, +0.80s): [-380, -1648]
17:07:19 Model found (93.40s, +1.56s): [-380, -1655]
17:07:19 Model found (93.92s, +0.52s): [-380, -1657]
17:07:20 Model found (94.36s, +0.44s): [-380, -1658]
17:07:21 Model found (95.90s, +1.54s): [-380, -1665]
17:07:22 Model found (96.61s, +0.72s): [-380, -1667]
17:07:22 Model found (97.14s, +0.52s): [-380, -1668]
17:07:24 Model found (98.36s, +1.22s): [-380, -1677]
17:07:25 Model found (99.32s, +0.96s): [-380, -1678]
17:07:29 Model found (103.99s, +4.67s): [-380, -1679]
17:07:31 Model found (106.02s, +2.03s): [-380, -1680]
17:07:36 Model found (111.03s, +5.01s): [-380, -1681]
17:08:03 Model found (138.07s, +27.04s): [-380, -1684]
17:08:04 Model found (138.34s, +0.27s): [-380, -1685]
17:08:04 Model found (138.46s, +0.12s): [-380, -1686]
17:08:04 Model found (138.72s, +0.25s): [-380, -1687]
17:08:04 Model found (138.98s, +0.26s): [-380, -1688]
17:08:25 Model found (159.91s, +20.92s): [-380, -1689]
17:08:39 Model found (173.95s, +14.05s): [-380, -1690]
17:09:07 Model found (201.67s, +27.72s): [-380, -2532]
17:09:11 Model found (205.74s, +4.07s): [-380, -2533]
17:09:15 Model found (209.59s, +3.85s): [-380, -2534]
17:09:18 Model found (213.24s, +3.65s): [-380, -2535]
17:09:22 Model found (216.76s, +3.52s): [-380, -2536]
17:09:53 Model found (247.90s, +31.14s): [-380, -2626]
17:10:47 Solving done: TIME LIMIT REACHED (301.21s)
% TIME LIMIT REACHED

Answer: 450
